location,type,playplace,drive-thur,lat,long
70-02 COOPER AVE,FREE STANDING,TRUE,TRUE,40.701728,-73.880335
98-01 METROPOLITAN AVE,FREE STANDING,TRUE,TRUE,40.50352914,-74.24019819
91-19 QUEEN BLVD,STOREFRONT,FALSE,FALSE,40.51744691,-74.23431549
90-15 QUEENS BOULEVARD,MALL,FALSE,FALSE,40.5594867,-74.16954587
80-03 QUEENS BLVD,FREE STANDING,TRUE,TRUE,40.57696833,-73.98178328
75-19 ROOSEVELT AVE,STOREFRONT,FALSE,FALSE,40.57786515,-74.10234705
37-59 82ND ST,STOREFRONT,FALSE,FALSE,40.57928773,-74.16933895
95-05 57TH AVE,STOREFRONT,FALSE,FALSE,40.5881988,-73.94865049
37-19 JUNCTION BLVD,STOREFRONT,FALSE,FALSE,40.58884615,-73.81662322
91-18 BEACH CHANNEL DR,FREE STANDING,TRUE,TRUE,40.588945,-73.816961
40-12 NATIONAL ST,STOREFRONT,FALSE,FALSE,40.59466909,-74.08632813
90-67 SUTPHIN BLVD,STOREFRONT,FALSE,FALSE,40.59813341,-73.96120312
138-32 JAMIACA AVE,FREE STANDING,FALSE,TRUE,40.60137253,-73.7443753
2141 MOTT AVE,FREE STANDING,FALSE,TRUE,40.605081,-73.755111
106-15 71ST AVE,STOREFRONT,FALSE,FALSE,40.60517509,-73.75491241
120-34 QUEENS BLVD.,STOREFRONT,FALSE,FALSE,40.60803654,-74.1622916
159-01 JAMAICA AVENUE,STOREFRONT,FALSE,FALSE,40.6111213,-73.92027318
166-30 JAMAICA AVE,STOREFRONT,FALSE,FALSE,40.61280342,-73.98253155
181-25 HILLSIDE AVENUE,FREE STANDING,TRUE,TRUE,40.62226511,-74.02756609
204-11 HILLSIDE AVE,STOREFRONT,FALSE,FALSE,40.62377446,-74.11367007
203-11 NORTHERN BLVD,FREE STANDING,FALSE,TRUE,40.62521738,-74.14939794
72-69 KISSENA BLVD,FREE STANDING,TRUE,TRUE,40.62548778,-74.07639324
365 ROCKAWAY TPKE,FREE STANDING,FALSE,TRUE,40.627844,-73.737379
40-18 MAIN STREET,STOREFRONT,FALSE,FALSE,40.62791556,-74.11576102
136-61 ROOSEVELT AVENUE,STOREFRONT,FALSE,FALSE,40.62901814,-74.11581463
160-11 WILLETS POINT BLVD,FREE STANDING,TRUE,TRUE,40.62941153,-74.08496484
144-01 NORTHERN BLVD,STOREFRONT,FALSE,FALSE,40.6298455,-74.07665892
3001 STRATTON ST,SHARED BUILDING,TRUE,TRUE,40.63221633,-73.92834651
138-11 20TH AVE.,FREE STANDING,FALSE,TRUE,40.63336453,-73.88934703
88-05 ASTORIA BLVD,FREE STANDING,FALSE,TRUE,40.63358698,-74.116965
59-60 55TH ROAD,FREE STANDING,FALSE,TRUE,40.63382591,-73.91582532
51-35 NORTHERN BLVD,FREE STANDING,FALSE,TRUE,40.63486672,-74.11725521
22 50 31ST ST,STOREFRONT,TRUE,FALSE,40.63589121,-73.96784483
BRITISH INTERNATIONAL TERMINAL 7,AIRPORT,FALSE,FALSE,40.641311,-73.778139
JOHN F KENNEDY AIRPORT,AIRPORT,FALSE,FALSE,40.641311,-73.778139
JFK AIRPORT TERMINAL 1,AIRPORT,FALSE,FALSE,40.643,-73.790887
JFK TERMINAL 4,AIRPORT,FALSE,FALSE,40.643,-73.790887
31-67 STEINWAY ST,STOREFRONT,FALSE,FALSE,40.64436599,-74.01102644
32-55 31ST STREET,FREE STANDING,TRUE,TRUE,40.64440301,-73.90142998
33-80 QUEENS BLVD & 39TH ST,FREE STANDING,TRUE,TRUE,40.64453909,-73.79533912
1420 HEMPSTEAD TRNPK,FREE STANDING,FALSE,TRUE,40.6449415,-73.92161154
250-01 NORTHERN BLVD,FREE STANDING,TRUE,TRUE,40.6450986,-73.98694598
88-14 SPRINGFIELD BLVD,FREE STANDING,FALSE,TRUE,40.64690044,-73.99415185
2045 JERICHO TPKE,FREE STANDING,FALSE,TRUE,40.65251917,-73.92311016
256-03 UNION TURNPIKE,STOREFRONT,FALSE,FALSE,40.65361276,-74.00868353
835 ROOSEVELT AVE,FREE STANDING,FALSE,TRUE,40.65492416,-73.96168971
753 ST GEORGES AVE,FREE STANDING,FALSE,TRUE,40.65519223,-74.00704244
970 RT 9,FREE STANDING,TRUE,TRUE,40.65591001,-74.01351885
330 RT 9 N,FREE STANDING,TRUE,TRUE,40.65627982,-73.93083634
10 W SUNRISE HWY,FREE STANDING,FALSE,TRUE,40.656349,-73.583007
633 NEW BRUNSWICK AVE,FREE STANDING,FALSE,TRUE,40.6576781,-73.88982748
260 PAGE AVENUE,FREE STANDING,FALSE,TRUE,40.65794169,-73.83969469
166-05 ROCKAWAY BLVD,FREE STANDING,FALSE,TRUE,40.660024,-73.774067
3267 RICHMOND AVE,STOREFRONT,TRUE,FALSE,40.66012608,-73.77415068
2795 RICHMOND AVE,STOREFRONT,FALSE,FALSE,40.66335786,-73.96002185
221-12 SO CONDUIT AVE,FREE STANDING,FALSE,TRUE,40.66523,-73.756122
2154 HYLAN BLVD,FREE STANDING,TRUE,TRUE,40.66550026,-73.7566672
