location,type,playplace,drive-thur,,
473 S BROADWAY YONKERS NY 10705 ,STOREFRONT,FALSE,FALSE,40.91693396,-73.89680683
1144 YONKERS AVE YONKERS NY 10704 ,FREE STANDING,TRUE,TRUE,40.91374428,-73.8541285
6 GRAMATAN AVE MOUNT VERNON NY 10550 ,STOREFRONT,FALSE,FALSE,40.91249834,-73.83729722
724 E 241ST ST BRONX NY 10470 ,FREE STANDING,FALSE,TRUE,40.90286414,-73.84915289
470 S FULTON AVE MOUNT VERNON NY 10550 ,FREE STANDING,TRUE,TRUE,40.90150358,-73.82708549
4174 WHITE PLAINS RD BRONX NY 10466 ,STOREFRONT,FALSE,FALSE,40.89302482,-73.8574817
3550 CONNER ST BRONX NY 10475 ,FREE STANDING,TRUE,TRUE,40.88533355,-73.82730988
5765 BROADWAY & 236TH STREET BRONX NY 10463 ,FREE STANDING,TRUE,TRUE,40.88367053,-73.90157686
1212 E. GUN HILL RD & TENBROECK AVE BRONX NY 10467 ,FREE STANDING,FALSE,TRUE,40.87859452,-73.87131107
1983 86TH ST   20TH AVE ,STOREFRONT,FALSE,FALSE,40.87601102,-87.43512784
5201 BROADWAY   225TH NEW YORK NY 10463 ,STOREFRONT,FALSE,FALSE,40.87468354,-73.90965791
300 E 204TH ST BRONX NY 10467 ,STOREFRONT,TRUE,FALSE,40.87302225,-73.87864305
2010 BARTOW AVE BRONX NY 10470 ,FREE STANDING,FALSE,TRUE,40.86899602,-73.83053881
608 WEST 207TH STREET NEW YORK NY 10034 ,STOREFRONT,FALSE,FALSE,40.86714091,-73.92089488
2630 JEROME AVE BRONX NY 10468 ,FREE STANDING,FALSE,TRUE,40.86711064,-73.89768516
208 DYCKMAN ST MANHATTAN NY 10040 ,STOREFRONT,FALSE,FALSE,40.86518483,-73.92706486
2516 WHITE PLAINS RD BRONX NY 10467 ,FREE STANDING,FALSE,TRUE,40.86346659,-73.86737067
36 W FORDHAM RD BRONX NY 10468 ,STOREFRONT,TRUE,FALSE,40.86268357,-73.90283323
372 E FORDHAM RD BRONX NY 10458 ,STOREFRONT,FALSE,FALSE,40.86181606,-73.89245441
2505 SOUTHERN BLVD BRONX NY 10458 ,FREE STANDING,TRUE,TRUE,40.85658949,-73.88076647
2152 LEMOINE AVENUE FORT LEE NJ 07024 ,FREE STANDING,FALSE,TRUE,40.85589484,-73.96710122
2170 WHITE PLAINS RD BRONX NY 10461 ,STOREFRONT,FALSE,FALSE,40.8556202,-73.86762124
2065 JEROME AVE BRONX NY 10453 ,FREE STANDING,FALSE,TRUE,40.85415799,-73.90740386
1745 UNIVERSITY AVE BRONX NY 10453 ,STOREFRONT,TRUE,FALSE,40.85007722,-73.91623374
4259 BROADWAY NEW YORK NY 10033 ,STOREFRONT,FALSE,FALSE,40.84994253,-73.93597251
